operator,id_ticket,date,activity
Siwi,6110/BRKR/Jul/2019,"2019-07-19 11:16:15.0",CLOSE
Fajar,6150/BJBR/Jul/2019,"2019-07-19 11:15:00.0",CLOSE
Laura,6153/BSBB/Jul/2019,"2019-07-19 11:07:00.0",CLOSE
Alam,6182/BJBR/Jul/2019,"2019-07-19 11:05:00.0",CLOSE
Laura,6157/SMPO/Jul/2019,"2019-07-19 10:59:00.0",CLOSE
Alam,6143/BJBR/Jul/2019,"2019-07-18 19:08:30.0",CLOSE
Alam,6140/BJBR/Jul/2019,"2019-07-18 17:19:45.0",CLOSE
Alam,6133/BJBR/Jul/2019,"2019-07-18 17:12:45.0",CLOSE
Alam,6137/BJBR/Jul/2019,"2019-07-18 16:58:45.0",CLOSE
Yefta,6135/OCBC/Jul/2019,"2019-07-18 15:39:45.0",CLOSE
Alam,6141/BJBR/Jul/2019,"2019-07-18 14:57:45.0",CLOSE
Alam,6142/BJBR/Jul/2019,"2019-07-18 14:57:15.0",CLOSE
Alam,6139/BJBR/Jul/2019,"2019-07-18 14:28:15.0",CLOSE
Siwi,6123/BRKR/Jul/2019,"2019-07-18 12:37:30.0",CLOSE
Alam,6270/BJBR/Jul/2019,"2019-07-18 12:30:15.0",CLOSE
Alam,6130/BJBR/Jul/2019,"2019-07-18 11:40:15.0",CLOSE
Alam,6120/BJBR/Jul/2019,"2019-07-18 11:15:15.0",CLOSE
Alam,6131/BJBR/Jul/2019,"2019-07-18 09:55:15.0",CLOSE
Laura,6127/BSBB/Jul/2019,"2019-07-18 09:52:00.0",CLOSE
Alam,6124/BJBR/Jul/2019,"2019-07-17 20:45:15.0",CLOSE
Alam,6126/BJBR/Jul/2019,"2019-07-17 18:51:00.0",CLOSE
Alam,6121/BJBR/Jul/2019,"2019-07-17 17:51:00.0",CLOSE
Laura,6021/BRKR/Jul/2019,"2019-07-17 17:00:00.0",CLOSE
Alam,6116/BJBR/Jul/2019,"2019-07-17 16:40:30.0",CLOSE
Alam,6115/BJBR/Jul/2019,"2019-07-17 15:29:00.0",CLOSE
Alam,6118/BJBR/Jul/2019,"2019-07-17 14:20:30.0",CLOSE
Paul,6114/BJBR/Jul/2019,"2019-07-17 11:20:15.0",CLOSE
Yefta,6113/BSBB/Jul/2019,"2019-07-17 10:56:00.0",CLOSE
Paul,6111/BJBR/Jul/2019,"2019-07-17 10:45:15.0",CLOSE
Vian,6338/BPJS/Jul/2019,"2019-07-17 04:29:30.0",CLOSE
Paul,6112/BJBR/Jul/2019,"2019-07-16 21:34:15.0",CLOSE
Fajar,6073/BJBR/Jul/2019,"2019-07-16 19:44:00.0",CLOSE
Alam,6250/BJBR/Jul/2019,"2019-07-16 16:10:00.0",CLOSE
Fajar,6109/BJBR/Jul/2019,"2019-07-16 14:32:00.0",CLOSE
Fajar,6103/BJBR/Jul/2019,"2019-07-16 13:46:00.0",CLOSE
Fajar,6104/BJBR/Jul/2019,"2019-07-16 12:46:00.0",CLOSE
Alam,6077/BJBR/Jul/2019,"2019-07-16 11:45:00.0",CLOSE
Fajar,6105/BJBR/Jul/2019,"2019-07-16 11:31:00.0",CLOSE
Alam,6239/BJBR/Jul/2019,"2019-07-16 11:24:00.0",CLOSE
Yefta,6108/BSBB/Jul/2019,"2019-07-16 10:54:45.0",CLOSE
Alam,6097/BJBR/Jul/2019,"2019-07-16 10:53:00.0",CLOSE
Alam,6251/BJBR/Jul/2019,"2019-07-16 10:43:00.0",CLOSE
Alam,6102/BJBR/Jul/2019,"2019-07-15 23:21:00.0",CLOSE
Alam,6349/BJBR/Jul/2019,"2019-07-15 23:09:30.0",CLOSE
